SeqId,BubbleSortNComp,BubbleSortTns,InsertionSortNComp,InsertionSortTns,MergeSortNComp,MergeSortTns,QuickSortNComp,QuickSortTns,QuickSortRandomNComp,QuickSortRandomTns,
seq_50_0,1225,4019500,645,317500,214,495500,104,233500,143,223600,
seq_50_1,1225,413500,1207,152500,230,347000,100,80300,110,207700,
seq_50_2,1225,636900,1785,214100,221,353200,96,83500,126,129700,
seq_50_3,1225,402900,2412,147200,221,196800,107,49000,164,79700,
seq_50_4,1225,875600,2966,272100,218,315400,135,229700,111,128900,
seq_50_5,1225,466100,3585,155700,219,135300,95,71300,158,120400,
seq_50_6,1225,413400,4251,156400,224,93300,100,48000,162,61300,
seq_50_7,1225,592600,4877,150000,220,55900,109,92800,126,102400,
seq_50_8,1225,844800,5457,285100,222,63900,192,58500,134,56200,
seq_50_9,1225,840000,6082,441500,225,108100,130,88600,127,92500,
seq_50_10,1225,1165300,6681,224000,218,95900,92,95600,122,96800,
seq_50_11,1225,785000,7289,214900,216,101100,117,116800,109,129800,
seq_50_12,1225,599800,7853,134600,225,54600,177,18000,123,55500,
seq_50_13,1225,778400,8508,151600,219,53100,112,15700,109,49400,
seq_50_14,1225,733500,9038,2612800,225,100100,171,36900,159,112500,
seq_50_15,1225,869900,9736,254400,218,113400,124,40700,140,142600,
seq_50_16,1225,847700,10323,210900,214,200700,153,29300,172,37600,
seq_50_17,1225,969900,10986,514500,225,105000,148,28500,86,32600,
seq_50_18,1225,1271800,11640,240600,222,102000,143,29600,141,31900,
seq_50_19,1225,536900,12285,293400,224,94700,114,23700,114,31700,
seq_50_20,1225,1228800,12920,220000,223,99800,102,27900,159,35200,
seq_50_21,1225,614100,13579,232200,228,86500,146,26000,122,132000,
seq_50_22,1225,574700,14151,201200,219,83600,132,27700,108,31100,
seq_50_23,1225,654600,14756,208200,221,109500,110,27800,217,40800,
seq_50_24,1225,531600,15381,232800,218,493500,125,26900,109,32500,
seq_50_25,1225,517600,16023,221600,222,97800,106,27500,103,31000,
seq_50_26,1225,510600,16607,257600,220,96900,160,30800,153,35800,
seq_50_27,1225,535100,17281,281000,224,87600,117,25200,74,32100,
